hand_rank,player_chips,current_bet,min_bet,pot,num_community_cards,action
0.1,0.89,0.1,0.2,0.03,0.0,1
0.1,1.08,0.2,0.2,0.04,0.0,1
0.3,0.88,0.2,0.2,0.04,0.6,1
0.1,1.08,0.2,0.2,0.04,0.6,1
0.3,0.88,0.2,0.2,0.04,0.8,1
0.1,1.08,0.2,0.2,0.04,0.8,1
0.3,0.88,0.2,0.2,0.04,1.0,1
0.1,1.08,0.2,0.2,0.04,1.0,1
0.1,1.07,0.1,0.2,0.03,0.0,1
0.2,0.9,0.2,0.2,0.04,0.0,1
0.2,1.06,0.2,0.2,0.04,0.6,1
0.2,0.9,0.2,0.2,0.04,0.6,1
0.3,1.06,0.2,0.2,0.04,0.8,1
0.3,0.9,0.2,0.2,0.04,0.8,1
0.7,1.06,0.2,0.2,0.04,1.0,2
0.7,0.9,0.2,0.4,0.06,1.0,2
0.7,1.04,0.4,0.6,0.08,1.0,2
0.7,0.88,0.4,0.8,0.1,1.0,2
0.7,1.02,0.6,1.0,0.12,1.0,2
0.7,0.86,0.6,1.2,0.14,1.0,2
0.7,1.0,0.8,1.4,0.16,1.0,1
0.7,0.84,0.8,1.4,0.22,1.0,1
0.1,0.77,0.1,0.2,0.03,0.0,1
0.1,1.2,0.2,0.2,0.04,0.0,1
0.2,0.76,0.2,0.2,0.04,0.6,1
0.1,1.2,0.2,0.2,0.04,0.6,1
0.2,0.76,0.2,0.2,0.04,0.8,1
0.1,1.2,0.2,0.2,0.04,0.8,1
0.2,0.76,0.2,0.2,0.04,1.0,1
0.1,1.2,0.2,0.2,0.04,1.0,1
0.1,1.19,0.1,0.2,0.03,0.0,1
0.1,0.78,0.2,0.2,0.04,0.0,1
0.2,1.18,0.2,0.2,0.04,0.6,1
0.1,0.78,0.2,0.2,0.04,0.6,1
0.2,1.18,0.2,0.2,0.04,0.8,1
0.1,0.78,0.2,0.2,0.04,0.8,1
0.2,1.18,0.2,0.2,0.04,1.0,1
0.1,0.78,0.2,0.2,0.04,1.0,1
0.1,0.77,0.1,0.2,0.03,0.0,1
0.1,1.2,0.2,0.2,0.04,0.0,1
0.2,0.76,0.2,0.2,0.04,0.6,1
0.2,1.2,0.2,0.2,0.04,0.6,1
0.3,0.76,0.2,0.2,0.04,0.8,1
0.2,1.2,0.2,0.2,0.04,0.8,1
0.3,0.76,0.2,0.2,0.04,1.0,1
0.2,1.2,0.2,0.2,0.04,1.0,1
0.1,1.19,0.1,0.2,0.03,0.0,1
0.1,0.78,0.2,0.2,0.04,0.0,1
0.1,1.18,0.2,0.2,0.04,0.6,1
0.3,0.78,0.2,0.2,0.04,0.6,1
0.1,1.18,0.2,0.2,0.04,0.8,1
0.3,0.78,0.2,0.2,0.04,0.8,1
0.1,1.18,0.2,0.2,0.04,1.0,1
0.3,0.78,0.2,0.2,0.04,1.0,1
0.1,0.81,0.1,0.2,0.03,0.0,1
0.1,1.16,0.2,0.2,0.04,0.0,1
0.3,0.8,0.2,0.2,0.04,0.6,1
0.1,1.16,0.2,0.2,0.04,0.6,1
0.3,0.8,0.2,0.2,0.04,0.8,1
0.1,1.16,0.2,0.2,0.04,0.8,1
0.3,0.8,0.2,0.2,0.04,1.0,1
0.2,1.16,0.2,0.2,0.04,1.0,1
0.1,1.15,0.1,0.2,0.03,0.0,1
0.1,0.82,0.2,0.2,0.04,0.0,1
0.2,1.14,0.2,0.2,0.04,0.6,1
0.2,0.82,0.2,0.2,0.04,0.6,1
0.2,1.14,0.2,0.2,0.04,0.8,1
0.2,0.82,0.2,0.2,0.04,0.8,1
